Turn,Piece,Tile
0,black_Rook(Clone),ma1
0,black_Pawn(Clone),mb1
0,white_Pawn(Clone),mg1
0,white_Rook(Clone),mh1
0,black_Knight(Clone),ma2
0,black_Pawn(Clone),mb2
0,white_Pawn(Clone),mg2
0,white_Knight(Clone),mh2
0,black_Bishop(Clone),ma3
0,black_Pawn(Clone),mb3
0,white_Pawn(Clone),mg3
0,white_Bishop(Clone),mh3
0,black_Queen(Clone),ma4
0,black_Pawn(Clone),mb4
0,white_Pawn(Clone),mg4
0,white_Queen(Clone),mh4
0,black_King(Clone),ma5
0,black_Pawn(Clone),mb5
0,white_Pawn(Clone),mg5
0,white_King(Clone),mh5
0,black_Bishop(Clone),ma6
0,black_Pawn(Clone),mb6
0,white_Pawn(Clone),mg6
0,white_Bishop(Clone),mh6
0,black_Knight(Clone),ma7
0,black_Pawn(Clone),mb7
0,white_Pawn(Clone),mg7
0,white_Knight(Clone),mh7
0,black_Rook(Clone),ma8
0,black_Pawn(Clone),mb8
0,white_Pawn(Clone),mg8
0,white_Rook(Clone),mh8
